concs,JDQ-A5,JDQ-B5,BXAJ-1,BXAJ-2,BXAJ-3,BXAJ-4,BXAJ-5,BXAJ-6,BXAJ-7,BXAJ-8,BXAJ-9,JDQ-C2,JDQ-F12,JDQ-G5,BXAJ-10,BXAJ-11,BXAJ-12,BXAJ-13,BXAJ-14,BXAJ-15,BXAK-1,BXAK-2,BXAK-3,JDQ-H7,BXAK-4,BXAK-5,BXAK-6,BXAK-7,BXAK-8,BXAK-9,XCL-A3,XCL-C5,XCL-E11,XCM-B12,XCM-F4b,XCL-F10
125,1.394,2.085,2.629,2.683,2.538,2.305,2.468,2.376,2.191,2.554,2.577,2.687,2.711,2.77,2.711,2.581,2.694,2.71,2.627,2.647,2.467,2.426,2.456,2.64,2.342,2.803,2.574,2.704,2.732,2.743,2.515,2.382,2.738,1.985,2.358,2.703
25,1.058,1.993,2.623,2.6,2.394,2.307,2.415,2.293,2.087,2.555,2.538,2.686,2.766,2.824,2.767,2.605,2.739,2.736,2.724,2.722,2.661,2.499,2.58,2.832,2.352,2.785,2.542,2.671,2.722,2.738,2.518,2.396,2.716,1.95,2.365,2.699
5,0.43,1.95,2.559,2.302,2.491,2.144,2.304,1.873,1.732,2.574,2.44,2.672,2.688,2.731,2.714,2.434,2.688,2.673,2.651,2.644,2.326,2.371,2.308,2.647,2.115,2.775,2.542,2.716,2.768,2.74,2.47,2.281,2.624,1.952,2.363,2.669
1,0.173,1.443,2.476,1.811,2.098,1.653,1.655,0.799,1.014,2.364,1.961,2.553,2.429,2.605,2.549,1.863,2.529,2.413,2.513,2.504,1.605,2.04,1.651,2.566,1.08,2.605,2.138,2.516,2.592,2.428,1.953,1.515,2.237,1.266,1.909,2.448
0.2,0.118,0.444,1.544,0.616,0.917,0.551,0.533,0.228,0.346,1.587,0.995,1.997,1.131,1.686,1.563,0.664,1.663,1.408,1.706,1.62,0.549,0.802,0.529,1.951,0.266,1.812,0.894,1.656,1.872,1.358,0.642,0.475,1.046,0.36,0.651,1.459
0.04,0.109,0.165,0.501,0.185,0.234,0.187,0.178,0.128,0.142,0.45,0.263,0.674,0.302,0.54,0.438,0.191,0.468,0.383,0.523,0.497,0.18,0.228,0.183,0.774,0.133,0.654,0.248,0.515,0.623,0.407,0.203,0.161,0.297,0.145,0.196,0.372
0.008,0.112,0.118,0.175,0.12,0.126,0.122,0.119,0.107,0.109,0.148,0.132,0.208,0.144,0.168,0.153,0.122,0.168,0.154,0.174,0.185,0.124,0.134,0.124,0.239,0.113,0.181,0.133,0.163,0.194,0.148,0.119,0.114,0.132,0.108,0.121,0.146
0.0016,0.11,0.123,0.12,0.108,0.105,0.107,0.107,0.101,0.107,0.116,0.113,0.13,0.116,0.121,0.116,0.108,0.111,0.111,0.119,0.118,0.107,0.115,0.115,0.129,0.109,0.13,0.115,0.118,0.117,0.115,0.109,0.123,0.108,0.11,0.1,0.108
